State,Action,NextState
"(4378.5, 30.0, 4378.75, 24.0)",WAIT,"(4378.5, 30.0, 4378.75, 23.0)"
"(4378.5, 30.0, 4378.75, 23.0)",WAIT,"(4378.5, 31.0, 4378.75, 23.0)"
"(4378.5, 31.0, 4378.75, 23.0)",WAIT,"(4378.5, 32.0, 4378.75, 23.0)"
"(4378.5, 32.0, 4378.75, 23.0)",WAIT,"(4378.5, 32.0, 4378.75, 22.0)"
"(4378.5, 32.0, 4378.75, 22.0)",WAIT,"(4378.5, 32.0, 4378.75, 19.0)"
"(4378.5, 32.0, 4378.75, 19.0)",WAIT,"(4378.5, 32.0, 4378.75, 15.0)"
"(4378.5, 32.0, 4378.75, 15.0)",WAIT,"(4378.5, 32.0, 4378.75, 13.0)"
"(4378.5, 32.0, 4378.75, 13.0)",WAIT,"(4378.5, 32.0, 4378.75, 12.0)"
"(4378.5, 32.0, 4378.75, 12.0)",WAIT,"(4378.5, 32.0, 4378.75, 9.0)"
"(4378.5, 32.0, 4378.75, 9.0)",WAIT,"(4378.5, 33.0, 4378.75, 9.0)"
"(4378.5, 33.0, 4378.75, 9.0)",WAIT,"(4378.5, 34.0, 4378.75, 9.0)"
"(4378.5, 34.0, 4378.75, 9.0)",WAIT,"(4378.5, 34.0, 4378.75, 8.0)"
"(4378.5, 34.0, 4378.75, 8.0)",WAIT,"(4378.5, 34.0, 4378.75, 7.0)"
"(4378.5, 34.0, 4378.75, 7.0)",WAIT,"(4378.5, 34.0, 4378.75, 6.0)"
"(4378.5, 34.0, 4378.75, 6.0)",WAIT,"(4378.5, 34.0, 4378.75, 5.0)"
"(4378.5, 34.0, 4378.75, 5.0)",WAIT,"(4378.5, 34.0, 4378.75, 4.0)"
"(4378.5, 34.0, 4378.75, 4.0)",WAIT,"(4378.5, 35.0, 4378.75, 4.0)"
"(4378.5, 35.0, 4378.75, 4.0)",WAIT,"(4378.5, 35.0, 4378.75, 4.0)"
"(4378.5, 35.0, 4378.75, 4.0)",SELL,"(4378.5, 35.0, 4379.0, 52.0)"
"(4378.5, 35.0, 4379.0, 52.0)",WAIT,"(4378.75, 1.0, 4379.0, 52.0)"
"(4378.75, 1.0, 4379.0, 52.0)",WAIT,"(4378.75, 1.0, 4379.0, 53.0)"
"(4378.75, 1.0, 4379.0, 53.0)",WAIT,"(4378.75, 2.0, 4379.0, 53.0)"
"(4378.75, 2.0, 4379.0, 53.0)",WAIT,"(4378.75, 2.0, 4379.0, 43.0)"
"(4378.75, 2.0, 4379.0, 43.0)",WAIT,"(4378.75, 2.0, 4379.0, 43.0)"
"(4378.75, 2.0, 4379.0, 43.0)",SELL,"(4378.5, 37.0, 4379.0, 43.0)"
"(4378.5, 37.0, 4379.0, 43.0)",WAIT,"(4378.5, 36.0, 4379.0, 43.0)"
